,precision,recall,f1-score,support
cardboard,0.9122807017543859,0.8524590163934426,0.8813559322033898,61.0
glass,0.8243243243243243,0.8026315789473685,0.8133333333333334,76.0
metal,0.8307692307692308,0.8709677419354839,0.8503937007874016,62.0
paper,0.8876404494382022,0.8777777777777778,0.88268156424581,90.0
plastic,0.775,0.8611111111111112,0.8157894736842105,72.0
trash,0.7222222222222222,0.5909090909090909,0.65,22.0
accuracy,0.8381201044386423,0.8381201044386423,0.8381201044386423,0.8381201044386423
macro avg,0.825372821418061,0.8093093861790458,0.8155923340423575,383.0
weighted avg,0.8391174754613202,0.8381201044386423,0.8375421345533816,383.0
